# Kaynak: hermitdave/FrequencyWords, OpenSubtitles 2018 tr — CC BY-SA 4.0. Sütunlar: kelime, sayı, sıra
gitmem	30274	803
muhteşem	30223	804
görünüyorsun	30208	805
film	30135	806
gidin	30092	807
ilginç	30013	808
olacaksın	29965	809
neye	29956	810
dalga	29876	811
adını	29850	812
kimsenin	29835	813
ikiniz	29789	814
bi	29747	815
yerinde	29733	816
bayım	29688	817
bilmiyordum	29677	818
yapmam	29627	819
yapacaksın	29621	820
koca	29510	821
yu	29481	822
buldun	29437	823
olmalısın	29400	824
acil	29355	825
anlamıyorum	29345	826
hatırlıyor	29194	827
noel	29138	828
mike	29005	829
parti	28975	830
george	28892	831
lan	28860	832
sebebi	28825	833
fena	28787	834
söylemiştim	28718	835
istiyorsan	28685	836
yedi	28624	837
tom	28608	838
joe	28552	839
özellikle	28523	840
zamanlar	28491	841
yaptığı	28482	842
bilir	28460	843
yaparım	28419	844
alabilir	28384	845
birden	28368	846
ajan	28343	847
yanına	28341	848
sebep	28340	849
eğlenceli	28338	850
dedektif	28288	851
adına	28244	852
düşün	28232	853
rağmen	28230	854
olmaya	28199	855
tut	28163	856
görünüşe	28137	857
söylüyorsun	28120	858
yapalım	28057	859
buradaki	28033	860
yoktur	28023	861
zavallı	28010	862
david	27948	863
yemeği	27845	864
baksana	27828	865
temiz	27779	866
babası	27762	867
arkadaşın	27742	868
söyleme	27726	869
burda	27712	870
allah	27650	871
parçası	27633	872
s	27626	873
biriyle	27563	874
üstünde	27518	875
şeyden	27518	876
uyuşturucu	27442	877
konuşma	27405	878
olduğundan	27363	879
öldürmek	27345	880
sesini	27335	881
bekliyor	27316	882
suç	27238	883
görüyor	27173	884
gerçeği	27159	885
alın	27148	886
katil	27142	887
sevgili	27117	888
peter	27112	889
yerini	27078	890
defa	27070	891
gerekir	27001	892
kayıp	26807	893
güvenli	26801	894
hale	26788	895
tercih	26730	896
geldiniz	26689	897
patron	26659	898
sayın	26659	899
gerekiyordu	26637	900
çoğu	26632	901
değiliz	26620	902
geldik	26593	903
kimseye	26587	904
çoktan	26570	905
dürüst	26568	906
alacağım	26559	907
eskiden	26479	908
teklif	26455	909
arkadaşı	26440	910
dolayı	26392	911
işleri	26379	912
numara	26374	913
sonsuza	26370	914
bilemiyorum	26346	915
sonu	26329	916
olma	26271	917
unutma	26249	918
kırmızı	26247	919
teslim	26230	920
canlı	26207	921
oda	26198	922
sesi	26154	923
yapan	26150	924
saçma	26043	925
babamın	25950	926
yaptığın	25914	927
soğuk	25858	928
verir	25783	929
kimsin	25769	930
bahsediyorsun	25754	931
istemiyor	25754	932
bağlı	25731	933
yapabilirim	25701	934
onlardan	25640	935
bizden	25578	936
süper	25551	937
bulduk	25543	938
hanımefendi	25543	939
herşey	25443	940
seviyor	25433	941
alan	25389	942
yaşıyor	25331	943
hikaye	25254	944
olmasın	25252	945
onlarla	25150	946
iyisi	25091	947
davet	25086	948
yapmış	25065	949
ölmüş	25032	950
yürü	24968	951
sahibi	24917	952
kalk	24867	953
elinde	24862	954
umurumda	24760	955
sıra	24720	956
çalışıyorsun	24708	957
çocukları	24694	958
tanıyor	24676	959
burayı	24649	960
görmeye	24612	961
kalan	24610	962
istiyoruz	24592	963
sert	24581	964
tamamdır	24570	965
olası	24554	966
fikrim	24539	967
günler	24510	968
adamlar	24469	969
dava	24461	970
sene	24459	971
çekil	24456	972
sağol	24373	973
insanlara	24365	974
bakayım	24357	975
zorundayım	24295	976
anlat	24292	977
kavga	24286	978
anlamı	24258	979
alır	24209	980
ikisi	24161	981
görmedim	24140	982
kendime	24134	983
isim	24133	984
kral	24127	985
kalmak	24116	986
geldiğini	24102	987
imkansız	24075	988
okul	24073	989
şehir	24059	990
ikna	24049	991
gitsin	24036	992
park	23948	993
bekleyin	23898	994
gelmek	23859	995
istemedim	23806	996
mesela	23792	997
kapı	23784	998
yaptığım	23757	999
iğrenç	23722	1000
anlamına	23663	1001
takım	23657	1002
yola	23635	1003
altına	23628	1004
kendim	23619	1005
çocuğun	23618	1006
kara	23563	1007
ifade	23549	1008
hatırlıyorum	23515	1009
söyleyeyim	23485	1010
edebilir	23467	1011
canına	23462	1012
güneş	23394	1013
orası	23370	1014
herkese	23333	1015
olayı	23189	1016
şimdiye	23159	1017
pislik	23126	1018
önceki	23095	1019
ağır	23087	1020
yarım	23063	1021
sık	23046	1022
adama	23027	1023
düşünüyordum	23000	1024
vereceğim	22939	1025
paul	22921	1026
henry	22912	1027
anlaşma	22877	1028
öğrenmek	22851	1029
etmiş	22807	1030
aşkına	22797	1031
resmi	22793	1032
anlıyor	22780	1033
duruyor	22771	1034
olabilirim	22739	1035
getirdim	22732	1036
affedersin	22710	1037
gurur	22659	1038
deki	22583	1039
demektir	22568	1040
sırada	22532	1041
aferin	22483	1042
l	22475	1043
sıkı	22438	1044
max	22432	1045
bölüm	22429	1046
siyah	22427	1047
yazık	22416	1048
kalp	22383	1049
arka	22372	1050
verici	22359	1051
iyilik	22355	1052
m	22344	1053
suçlu	22338	1054
kadının	22335	1055
oldun	22335	1056
düşünmüştüm	22327	1057
yapmayı	22325	1058
kalın	22295	1059
herşeyi	22199	1060
başıma	22119	1061
şef	22113	1062
telefonu	22092	1063
silahı	22084	1064
annesi	22076	1065
edeyim	22076	1066
itiraf	22033	1067
gittim	22031	1068
hoşuma	22027	1069
vakti	22014	1070
veriyor	21935	1071
hepiniz	21906	1072
gider	21897	1073
serbest	21883	1074
üst	21883	1075
göster	21853	1076
kaldım	21852	1077
kadınlar	21842	1078
yla	21837	1079
kitap	21814	1080
istemem	21803	1081
kelime	21791	1082
dünyada	21777	1083
orospu	21761	1084
olman	21746	1085
birileri	21724	1086
günün	21719	1087
gidecek	21712	1088
istiyorsunuz	21678	1089
arabayı	21598	1090
sürece	21553	1091
satın	21484	1092
zengin	21464	1093
sona	21430	1094
tehdit	21362	1095
bira	21339	1096
sekiz	21308	1097
söyleyeceğim	21301	1098
ettiğini	21298	1099
üçüncü	21294	1100
james	21279	1101
söylemiştin	21271	1102
b	21213	1103
almış	21200	1104
hayatı	21189	1105
alex	21106	1106
olmayı	21083	1107
na	21082	1108
tarafa	21072	1109
